"","par_names","r_s","p_val"
"1","pop_max_growth_mean, pop_level_model_max_growth",0.3676,0.1471
"2","pop_max_growth_mean, gmax_95",0.9142,0
"3","pop_max_growth_mean, gobs_95",0.9755,5.41e-06
"4","gmax_95, gobs_95",0.9314,0
"5","pop_log_size_at_max_growth_sd, sd_ind_log_size_at_max_growth",0.7917,0.0002306
