sp_code,walltime
"alsebl",153
"beilpe",147
"cordbi",28
"faraoc",21
"gar2in",32
"hirttr",36
"jac1co",4
"pri2co",41
"protpa",75
"protte",108
"quaras",50
"simaam",26
"swars1",143
"swars2",185
"tachve",64
"tet2pa",84
"tri2tu",135
